GameId,Date,HomeTeamId,AwayTeamId,HomePoints,AwayPoints,HomePossessions,AwayPossessions,HomeTeamAbbreviation,AwayTeamAbbreviation,season_type,season,winner_id,Name,Minutes,Rebounds,Turnovers,Points,FtPoints,Fouls,FG2A,Fg2Pct,FG3A,Fg3Pct,Assists,outcome,is_home,opponent_rate
0021301201,2014-04-13,1610612757,1610612744,119,117,103,103,POR,GSW,Regular Season,2013-14,1610612757,Klay Thompson,31.9833333333333,2,1,25,1,6,7,0.42857142857142855,10,0.6,2,0,0,0.6585365853658537
0021301188,2014-04-11,1610612747,1610612744,95,112,104,104,LAL,GSW,Regular Season,2013-14,1610612744,Klay Thompson,36.5833333333333,3,2,16,2,2,9,0.4444444444444444,6,0.3333333333333333,4,1,0,0.32926829268292684
0021301230,2014-04-16,1610612743,1610612744,112,116,107,105,DEN,GSW,Regular Season,2013-14,1610612744,Klay Thompson,7.6,1,,8,,,1,1,4,0.5,1,1,0,0.43902439024390244
0021400014,2014-10-29,1610612758,1610612744,77,95,103,104,SAC,GSW,Regular Season,2014-15,1610612744,Klay Thompson,37.9833333333333,2,5,19,9,1,6,0.3333333333333333,8,0.25,6,1,0,0.35365853658536583
0021400087,2014-11-08,1610612745,1610612744,87,98,102,100,HOU,GSW,Regular Season,2014-15,1610612744,Klay Thompson,31.15,4,4,11,5,3,10,0.3,6,,6,1,0,0.6829268292682927
0021400042,2014-11-02,1610612757,1610612744,90,95,97,98,POR,GSW,Regular Season,2014-15,1610612744,Klay Thompson,33.95,1,2,29,4,2,15,0.5333333333333333,7,0.42857142857142855,1,1,0,0.6219512195121951
0021400145,2014-11-16,1610612747,1610612744,115,136,103,102,LAL,GSW,Regular Season,2014-15,1610612744,Klay Thompson,29.2166666666667,3,2,18,6,3,4,0.75,7,0.2857142857142857,3,1,0,0.25609756097560976
0021400212,2014-11-26,1610612753,1610612744,96,111,100,99,ORL,GSW,Regular Season,2014-15,1610612744,Klay Thompson,25.1333333333333,4,3,12,,,12,0.5,2,,2,1,0,0.3048780487804878
0021400224,2014-11-28,1610612766,1610612744,101,106,99,98,CHA,GSW,Regular Season,2014-15,1610612744,Klay Thompson,34.5,5,1,17,,3,17,0.23529411764705882,5,0.6,4,1,0,0.4024390243902439
0021400196,2014-11-23,1610612760,1610612744,86,91,96,95,OKC,GSW,Regular Season,2014-15,1610612744,Klay Thompson,38.15,8,,20,4,,9,0.2222222222222222,11,0.36363636363636365,5,1,0,0.5487804878048781
0021400243,2014-11-30,1610612765,1610612744,93,104,96,96,DET,GSW,Regular Season,2014-15,1610612744,Klay Thompson,35.1333333333333,3,3,15,3,1,9,0.3333333333333333,2,1,2,1,0,0.3902439024390244
0021400289,2014-12-06,1610612741,1610612744,102,112,96,96,CHI,GSW,Regular Season,2014-15,1610612744,Klay Thompson,37.6166666666667,5,2,24,4,3,15,0.4666666666666667,8,0.25,5,1,0,0.6097560975609756
0021400340,2014-12-13,1610612742,1610612744,98,105,98,98,DAL,GSW,Regular Season,2014-15,1610612744,Klay Thompson,41.25,5,2,25,,3,10,0.5,11,0.45454545454545453,3,1,0,0.6097560975609756
0021400305,2014-12-08,1610612750,1610612744,86,102,100,100,MIN,GSW,Regular Season,2014-15,1610612744,Klay Thompson,29.9,1,1,21,4,2,9,0.4444444444444444,6,0.5,3,1,0,0.1951219512195122
0021400348,2014-12-14,1610612740,1610612744,122,128,112,115,NOP,GSW,Regular Season,2014-15,1610612744,Klay Thompson,41.65,4,3,29,7,3,15,0.5333333333333333,7,0.2857142857142857,3,1,0,0.5487804878048781
0021400365,2014-12-16,1610612763,1610612744,105,98,99,99,MEM,GSW,Regular Season,2014-15,1610612763,Klay Thompson,40.3333333333333,2,2,22,2,1,11,0.36363636363636365,5,0.8,,0,0,0.6707317073170732
0021400426,2014-12-23,1610612747,1610612744,115,105,97,96,LAL,GSW,Regular Season,2014-15,1610612747,Klay Thompson,30.1,3,1,18,2,1,7,0.2857142857142857,8,0.5,1,0,0,0.25609756097560976
0021400431,2014-12-25,1610612746,1610612744,100,86,97,96,LAC,GSW,Regular Season,2014-15,1610612746,Klay Thompson,36.5833333333333,3,3,15,1,2,8,0.5,10,0.2,3,0,0,0.6829268292682927
0021400593,2015-01-16,1610612760,1610612744,127,115,104,102,OKC,GSW,Regular Season,2014-15,1610612760,Klay Thompson,33.25,4,3,32,5,1,16,0.5625,6,0.5,4,0,0,0.5487804878048781
0021400571,2015-01-13,1610612762,1610612744,105,116,95,95,UTA,GSW,Regular Season,2014-15,1610612744,Klay Thompson,26.7166666666667,4,1,12,,1,6,0.5,2,1,3,1,0,0.4634146341463415
0021400603,2015-01-17,1610612745,1610612744,106,131,104,104,HOU,GSW,Regular Season,2014-15,1610612744,Klay Thompson,30.8,5,1,27,6,,10,0.6,5,0.6,2,1,0,0.6829268292682927
0021400703,2015-01-30,1610612762,1610612744,110,100,98,99,UTA,GSW,Regular Season,2014-15,1610612762,Klay Thompson,31.1833333333333,2,1,12,2,2,7,0.7142857142857143,3,,,0,0,0.4634146341463415
0021400749,2015-02-06,1610612737,1610612744,124,116,101,101,ATL,GSW,Regular Season,2014-15,1610612737,Klay Thompson,36.2666666666667,4,3,29,3,2,12,0.5833333333333334,8,0.5,5,0,0,0.7317073170731707
0021400760,2015-02-07,1610612752,1610612744,92,106,91,91,NYK,GSW,Regular Season,2014-15,1610612744,Klay Thompson,38.4166666666667,4,2,16,4,,16,0.1875,6,0.3333333333333333,2,1,0,0.2073170731707317
0021400730,2015-02-03,1610612758,1610612744,96,121,98,98,SAC,GSW,Regular Season,2014-15,1610612744,Klay Thompson,23.7666666666667,1,2,14,,,7,0.5714285714285714,5,0.4,1,1,0,0.35365853658536583
0021400793,2015-02-11,1610612750,1610612744,91,94,96,97,MIN,GSW,Regular Season,2014-15,1610612744,Klay Thompson,29.6333333333333,2,3,14,1,,7,0.2857142857142857,7,0.42857142857142855,,1,0,0.1951219512195122
0021400775,2015-02-09,1610612755,1610612744,84,89,100,99,PHI,GSW,Regular Season,2014-15,1610612744,Klay Thompson,29.15,2,3,13,4,1,8,0.375,6,0.16666666666666666,3,1,0,0.21951219512195122
0021400824,2015-02-22,1610612754,1610612744,104,98,94,94,IND,GSW,Regular Season,2014-15,1610612754,Klay Thompson,37.45,3,2,39,10,1,15,0.4666666666666667,13,0.38461538461538464,,0,0,0.4634146341463415
0021400880,2015-03-01,1610612738,1610612744,101,106,95,96,BOS,GSW,Regular Season,2014-15,1610612744,Klay Thompson,38.2833333333333,5,,20,,2,13,0.5384615384615384,10,0.2,2,1,0,0.4878048780487805
0021400838,2015-02-24,1610612764,1610612744,107,114,103,103,WAS,GSW,Regular Season,2014-15,1610612744,Klay Thompson,34.5666666666667,1,3,17,2,2,11,0.5454545454545454,2,0.5,4,1,0,0.5609756097560976
0021400854,2015-02-26,1610612739,1610612744,110,99,100,100,CLE,GSW,Regular Season,2014-15,1610612739,Klay Thompson,33.6166666666667,7,3,13,,1,8,0.25,5,0.6,4,0,0,0.6463414634146342
0021400886,2015-03-02,1610612751,1610612744,110,108,94,94,BKN,GSW,Regular Season,2014-15,1610612751,Klay Thompson,31.3833333333333,4,1,7,,,8,0.25,9,0.1111111111111111,5,0,0,0.4634146341463415
0021400861,2015-02-27,1610612761,1610612744,89,113,101,101,TOR,GSW,Regular Season,2014-15,1610612744,Klay Thompson,28.2166666666667,1,,25,2,2,10,0.4,8,0.625,5,1,0,0.5975609756097561
0021400944,2015-03-09,1610612756,1610612744,80,98,97,98,PHX,GSW,Regular Season,2014-15,1610612744,Klay Thompson,30.65,2,2,25,5,1,11,0.36363636363636365,8,0.5,3,1,0,0.47560975609756095
0021401082,2015-03-27,1610612763,1610612744,84,107,92,92,MEM,GSW,Regular Season,2014-15,1610612744,Klay Thompson,26.7333333333333,2,,28,2,2,8,0.5,9,0.6666666666666666,1,1,0,0.6707317073170732
