GameId,Date,HomeTeamId,AwayTeamId,HomePoints,AwayPoints,HomePossessions,AwayPossessions,HomeTeamAbbreviation,AwayTeamAbbreviation,season_type,season,winner_id,Name,Minutes,Rebounds,Turnovers,Points,FtPoints,Fouls,FG2A,Fg2Pct,FG3A,Fg3Pct,Assists,outcome,is_home,opponent_rate
0022000710,2021-03-29,1610612752,1610612748,88,98,93,92,NYK,MIA,Regular Season,2020-21,1610612748,Tyler Herro,34.2666666666667,3,1,18,2,1,7,0.2857142857142857,9,0.4444444444444444,4,1,0,0.5694444444444444
0022000722,2021-03-31,1610612754,1610612748,87,92,93,93,IND,MIA,Regular Season,2020-21,1610612748,Tyler Herro,32.2166666666667,4,,17,3,,7,0.5714285714285714,6,0.3333333333333333,2,1,0,0.4722222222222222
0022000852,2021-04-16,1610612750,1610612748,119,111,96,97,MIN,MIA,Regular Season,2020-21,1610612750,Tyler Herro,22.6666666666667,3,2,4,2,1,3,0.3333333333333333,4,,4,0,0,0.3194444444444444
0022000960,2021-05-01,1610612739,1610612748,107,124,92,92,CLE,MIA,Regular Season,2020-21,1610612748,,,,,,,,,,,,,1,0,0.3055555555555556
0022000969,2021-05-02,1610612766,1610612748,111,121,96,96,CHA,MIA,Regular Season,2020-21,1610612748,,,,,,,,,,,,,1,0,0.4583333333333333
0022000145,2021-05-09,1610612738,1610612748,124,130,99,99,BOS,MIA,Regular Season,2020-21,1610612748,Tyler Herro,17.1333333333333,3,1,12,,1,6,0.5,3,0.6666666666666666,,1,0,0.5
0022001032,2021-05-11,1610612738,1610612748,121,129,99,98,BOS,MIA,Regular Season,2020-21,1610612748,Tyler Herro,34.6,11,3,24,,3,8,0.75,7,0.5714285714285714,3,1,0,0.5
0022001062,2021-05-15,1610612749,1610612748,122,108,100,99,MIL,MIA,Regular Season,2020-21,1610612749,Tyler Herro,17.5833333333333,6,3,3,1,,4,0.25,5,,2,0,0,0.6388888888888888
0022001069,2021-05-16,1610612765,1610612748,107,120,97,96,DET,MIA,Regular Season,2020-21,1610612748,Tyler Herro,35.1833333333333,6,1,16,1,3,8,0.75,5,0.2,11,1,0,0.2777777777777778
0022100900,2022-02-25,1610612752,1610612748,100,115,103,103,NYK,MIA,Regular Season,2021-22,1610612748,Tyler Herro,30.6333333333333,7,1,25,3,4,9,0.5555555555555556,9,0.4444444444444444,2,1,0,0.45121951219512196
0022100936,2022-03-02,1610612749,1610612748,120,119,103,102,MIL,MIA,Regular Season,2021-22,1610612749,Tyler Herro,35.15,7,5,30,2,2,11,0.45454545454545453,10,0.6,5,0,0,0.6219512195121951
